id,list_price,list_price_2,selling_price,quantity,bonus_coefficient,discount_coefficient,minimum_quantity,maximum_quantity,stock_available,timestamp,offer_id,product_id,suboffer_id
36,4353.86,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:45:10.671591+00,8,189,12
37,6591.82,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:45:10.676176+00,8,192,12
38,8273.55,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 16:45:10.680975+00,8,193,12
40,22570.00,0.00,0.00,0,1.00,1.00,0,200,1000,2024-07-15 16:55:57.750149+00,10,450,14
41,23185.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 17:01:03.604507+00,11,488,15
42,20225.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 17:01:03.611271+00,11,487,15
44,1937.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 17:05:43.583742+00,13,429,17
45,2466.00,0.00,0.00,0,1.00,1.00,0,200,10000,2024-07-15 17:05:43.589077+00,13,434,17
63,4926.00,0.00,0.00,0,1.00,1.00,0,1000,860,2024-11-12 13:48:22.928123+00,19,76,23
67,9417.00,0.00,0.00,0,1.00,1.00,0,1000,1000,2024-11-05 18:11:12.94091+00,19,73,23
65,6242.00,0.00,0.00,0,1.00,1.00,0,1000,905,2024-11-12 13:48:22.935539+00,19,72,23
81,15359.30,0.00,0.00,0,1.00,1.00,0,200,973,2024-09-10 22:57:43.075666+00,22,552,27
77,9178.13,0.00,0.00,0,1.00,1.00,0,200,998,2024-09-05 18:55:05.106882+00,22,551,27
82,17981.70,0.00,0.00,0,1.00,1.00,0,200,993,2024-09-10 22:57:43.080808+00,22,553,27
72,11000.00,0.00,0.00,0,1.00,1.00,0,1000,9975,2024-09-06 15:37:23.67416+00,21,339,26
73,12500.00,0.00,0.00,0,1.00,1.00,0,1000,9995,2024-09-06 15:37:23.680276+00,21,338,26
74,13500.00,0.00,0.00,0,1.00,1.00,0,1000,9995,2024-09-06 15:37:23.684429+00,21,340,26
75,17000.00,0.00,0.00,0,1.00,1.00,0,1000,9997,2024-09-06 15:37:23.688578+00,21,341,26
370,25838.00,0.00,0.00,0,1.00,1.00,0,99999999,999999,2025-02-05 13:47:31.338554+00,59,440,106
267,8601.42,0.00,0.00,0,1.00,1.00,0,99999999,9724,2024-12-07 15:51:14.971642+00,48,566,62
61,22570.00,0.00,0.00,0,1.00,1.00,0,100,1000,2024-07-17 14:09:31.367677+00,18,440,22
62,22570.00,0.00,0.00,0,1.00,1.00,0,100,1000,2024-07-17 14:09:31.372968+00,18,450,22
311,6895.20,0.00,0.00,0,1.00,1.00,0,99999999,1000,2024-12-11 17:03:43.988738+00,55,619,77
43,22627.00,0.00,0.00,0,1.00,1.00,0,1000,10000,2024-07-23 21:24:23.002087+00,12,467,16
78,9927.37,0.00,0.00,0,1.00,1.00,0,200,991,2024-09-09 14:44:04.742126+00,22,548,27
54,5090.00,0.00,0.00,0,1.00,1.00,0,1000,9940,2024-11-04 16:05:56.848853+00,16,66,20
55,6434.00,0.00,0.00,0,1.00,1.00,0,1000,9998,2024-11-04 16:05:56.855093+00,16,67,20
71,14228.60,0.00,0.00,0,1.00,1.00,0,1000,1000,2024-07-17 19:44:36.518734+00,20,336,25
39,38923.00,0.00,0.00,0,1.00,1.00,2,1000,1000,2024-07-23 21:45:06.973842+00,9,399,13
56,8150.00,0.00,0.00,0,1.00,1.00,0,1000,9998,2024-11-04 16:05:56.858611+00,16,68,20
57,11871.00,0.00,0.00,0,1.00,1.00,0,1000,9998,2024-11-04 16:05:56.861833+00,16,69,20
59,38705.00,0.00,0.00,0,1.00,1.00,0,1000,9996,2024-11-05 14:55:57.389589+00,17,77,21
69,11739.00,0.00,0.00,0,1.00,1.00,0,1000,1000,2024-11-05 18:11:12.94975+00,19,74,23
64,5421.00,0.00,0.00,0,1.00,1.00,0,1000,865,2024-11-07 20:50:09.897734+00,19,79,23
